JX,LC,LD,BGY,XF,LNT,JBN,ZTS,HMG,LT,WN,CX,GH,XN
1955.0,390.0,606.0,2209.9,26.0,278.0,1980.0,1885.0,1056.0,657.2,91.0,972.0,2217.2,121.0
1885.0,479.0,630.0,239.3,181.0,1244.0,248.7,446.0,430.7,198.6,119.0,2489.0,2061.2,192.0
1678.0,607.0,436.0,1838.9,242.0,257.0,198.5,322.0,464.9,236.4,121.0,1119.0,1777.2,289.0
441.0,518.0,928.0,780.7,250.0,658.0,346.1,478.0,458.8,202.3,161.0,452.0,1653.7,292.0
1923.0,326.0,374.0,457.1,252.0,427.0,243.4,24.5,766.5,810.6,199.0,441.0,1769.5,339.0
2479.0,407.0,1776.0,1855.6,258.0,179.0,398.3,354.0,2182.0,329.7,208.0,1253.0,1953.3,381.0
1742.0,332.0,2110.0,404.1,269.0,883.0,201.6,434.0,931.2,1504.1,211.0,2543.0,1755.9,396.0
414.0,877.0,1779.0,963.7,286.0,265.0,394.1,550.0,2534.2,295.2,223.0,2444.0,2441.1,407.0
417.0,289.0,932.0,314.3,311.0,682.0,419.9,292.0,2537.5,706.7,223.0,984.0,1671.5,423.0
1896.0,480.0,452.0,439.5,320.0,105.0,421.3,442.0,1738.0,451.0,224.0,467.0,1792.3,427.0
2567.0,2565.0,497.0,759.9,346.0,197.0,275.5,203.0,2198.2,769.3,230.0,419.0,292.0,429.0
1922.0,1874.0,2396.0,424.6,355.0,219.0,250.4,249.0,421.7,488.9,234.0,2489.0,398.9,429.0
1839.0,370.0,746.0,904.8,365.0,635.0,362.9,2069.0,2507.4,535.7,237.0,264.0,385.2,429.0
1993.0,469.0,2143.0,946.9,382.0,391.0,217.5,316.0,1740.7,44.8,251.0,977.0,1722.1,435.0
909.0,1322.0,490.0,444.0,394.0,822.0,411.8,1836.0,445.7,270.3,252.0,446.0,2432.9,436.0
1954.0,338.0,758.0,615.8,395.0,447.0,2283.9,251.0,2554.8,196.0,257.0,449.0,1845.6,438.0
331.0,107.0,415.0,1846.6,401.0,147.0,231.6,879.0,927.1,405.5,263.0,458.0,1920.6,438.0
277.0,715.0,472.0,873.9,402.0,937.0,1990.6,846.0,342.0,427.2,267.0,1832.0,1854.1,446.0
1811.0,386.0,532.0,807.2,418.0,229.0,465.5,2016.0,2038.3,405.6,273.0,2541.0,306.9,447.0
1740.0,837.0,519.0,402.9,422.0,2153.0,277.9,236.0,386.2,377.1,282.0,472.0,2342.0,448.0
223.0,236.0,117.0,375.7,426.0,638.0,285.1,236.0,324.8,409.2,291.0,1734.0,2622.5,450.0
