gobi,YR,NTP,NCC,CSD,Qaidam Basin,Qilian Piedmont
392,238,446.3898783,125.2538847,202,699.3099608,2494
415,383,443.1964113,139.8420389,237,701.5416536,448
495,304,460.9892972,151.0606503,240,741.6233928,350.7
392,2282,429.627572,217.5291279,241,787.2778713,2433.3
397,2259,472.2429735,237.8151722,256,787.3188852,2501.2
406,2109,956.865117,240.6724876,273,822.5215689,1023.9
396,903,269.4609845,244.0251123,275,833.1892497,441.1
409,1812,1471.821801,261.5049911,285,844.0641498,484.5
405,2555,452.405014,265.4036016,301,857.4357777,915.6
408,288,412.2939827,268.7433922,306,859.8092754,551.5
406,452,265.1331011,273.0701767,311,866.9706396,468
411,2375,463.5324647,277.1470582,320,873.578767,446.4
388,1751,273.3824202,277.7645427,333,880.0060672,457.2
368,2388,1002.348149,278.2584876,346,888.3219485,301.9
401,2089,1117.297444,280.3573317,347,906.0914398,265
403,2064,433.7862233,280.542491,377,916.4740588,724.5
395,329,409.7199066,280.6659276,382,918.4308379,2206.6
347,739,442.9742632,281.0362232,384,921.8321843,2456.3
408,2271,495.444456,281.1596503,387,923.2677232,458.4
432,2754,1714.599191,283.3809347,398,923.7506584,1887.9
436,2104,779.9288106,284.0595079,399,923.9579036,1161.5
421,1483,261.684575,284.4296086,401,924.6407421,1090.4
369,171,243.7621699,285.41644,402,924.7315091,889.7
404,2196,404.6386373,285.6631242,406,925.2904565,598.7
410,1412,795.0456669,293.490445,408,926.5517809,459.7
362,1651,427.926983,300.4469302,413,926.8293387,952
426,1572,241.5322745,301.062187,415,927.3349147,1860.2
353,309,413.0961327,309.7925016,417,927.6161882,281.7
416,1461,441.1654593,317.2223949,419,928.7975925,437.3
395,772,451.52913,319.553984,424,929.4159333,929.1
446,1767,2570.78386,324.8889224,440,930.296045,2489.3
360,296,233.8391724,330.5256675,455,930.3548833,2478.2
356,2464,1615.00095,331.9953126,464,930.4000415,2483.5
325,354,1042.920246,344.2904542,491,931.7037778,1032.5
377,248,1828.337956,348.017182,505,933.1135074,1848.2
440,556,438.4876748,379.6988488,512,935.8991038,1339.3
411,1874,2042.130086,399.6028837,528,936.2613456,2443.4
410,1796,313.8680053,406.3853325,533,936.4390022,2169.6
313,243,427.2018784,408.1403398,592,936.8960117,1145.3
427,241,427.2644466,437.6014336,627,937.5122372,2455.3
382,236,903.1723634,442.0571614,639,937.9771727,306.3
405,754,233.2356111,450.2981589,645,938.1338295,514.6
433,198,1687.266007,451.3801351,665,938.4222009,2484.6
363,1728,417.1284008,459.4291438,666,938.5544853,2461.8
358,397,1091.829046,464.8295581,675,940.6110612,1315.3
321,551,2332.02483,472.4424546,676,941.5219387,2303.2
380,2470,271.4849293,473.8801027,682,943.855337,442.3
329,971,1048.132052,518.7052849,682,943.994922,1164.5
451,1734,460.1303167,577.264507,688,944.2938913,2480.9
433,1802,444.4626294,805.1278651,692,944.5532318,1138
345,197,424.5702645,895.635868,693,947.1942916,2572.6
401,430,2105.308748,921.8942105,695,950.8651005,2360.4
388,245,2501.179697,941.5876431,699,951.1618395,473.1
308,229,466.5929293,948.4355513,700,959.7231158,478.7
401,742,1204.822111,958.7215713,739,960.4069666,1505.4
421,334,466.110459,1000.695898,763,962.521593,2044.4
387,992,445.3187558,1000.861481,772,975.6279526,2435.8
388,250,440.0083856,1012.496864,772,1031.918869,1828.7
394,1537,250.5526914,1074.400111,799,1046.298101,303.8
388,693,453.9107799,1083.967221,821,1047.250638,2385.8
397,1807,440.635542,1142.792553,874,1078.771744,1744.5
432,2060,2528.10194,1171.132375,917,1097.478554,274.1
483,443,461.2201256,1390.540226,923,1118.173795,456.1
